Tiêu đề sách,Đã bán (Sách),Giá bán (VNĐ),Giá gốc (VNĐ),Mã Kim Đồng (Mã sách),ISBN (Mã quốc tế),Tác giả,Đối tượng,Chiều dài (cm),Chiều rộng (cm),Số trang,Định dạng,Trọng lượng (gram),Bộ sách,Loại sách,Mô tả
Thám tử lừng danh Conan - Tập 101,1089,22500,25000,5232208470101,978-604-2-32713-8,Gosho Aoyama,Thiếu niên,17.6,11.3,184,bìa mềm,120,Thám tử lừng danh Conan,Manga - comic,"Mật mã Akemi Miyano để lại ẩn chứa gợi ý về vị trí chôn chiếc hộp thời gian ở trường tiểu học!? Conan dẽ cùng nhóm Haibara hợp sức giải mã!! Tiếng súng vang lên tại nhà hàng Pháp danh tiếng! Conan lần theo dấu viết của tiến sĩ vừa bị bắt đi, thế rồi “nữ thần gió” bất ngờ xuất hiện trước mặt cậu. Thân phận thực sự của cô là gì? Và lần này, Toru Amuro sẽ đối đầu với Kaito Kid khi hắn định trộm món bảo vật!"
Chú Thuật Hồi Chiến - Tập 7,1262,27000,30000,5222215000007,978-604-2-27289-6,Gege Akutami,Tuổi mới lớn,17.6,11.3,192,bìa mềm,140,Chú thuật hồi chiến,Manga - comic,"Chú linh đặc cấp Hanami và đồng bọn đã rút lui khỏi trường chuyên chú thuật, nhưng các ngón tay của Sukuna và chú vật đặc cấp “Chú thai cửu tương đồ” đã bị đánh cắp. Cửu tương đồ có được thực thể và trở thành mối nguy mới. Song nhóm Itadori lại chẳng hay biết gì về hiểm họa đó, vẫn lên đường làm nhiệm vụ tiêu diệt “Chú linh xuất hiện ở cánh cửa”...!?"
Dr. Stone - Tập 6,1234,22500,25000,5212214510006,978-604-2-22849-7,"Riichiro Inagaki, Boichi",Tuổi mới lớn,17.6,11.3,192,bìa mềm,130,Dr. Stone,Manga - comic,"Byakuya, bố của Senku, trở về Trái Đất sau khi nhân loại hóa đá. Ông đã để lại gì cho con trai sau mấy ngàn năm? Ở một diễn biến khác, nhóm Senku bị thích khách của Đế chế Tsukasa tập kích. Trong tình hình cấp bách, họ đã bắt tay vào chế tạo thứ vũ khí tối thượng - “thanh gươm khoa học” để bảo vệ ngôi làng!!"
Combo Thám tử lừng danh Conan - Giờ trà của Zero (3 tập),1018,94500,105000,CB213540001,không có,"Gosho Aoyama, Takahiro Arai",Thiếu niên,18,13,không có,bìa mềm,450,Thám tử lừng danh Conan - Giờ trà của Zero,Combo,"GIỜ TRÀ CỦA ZERO - ZERO'S TEA TIME - Một trong những ngoại truyện đặc sắc về nhân vật Toru Amuro trong ""Thám tử lừng danh Conan""!! Tuy mới chỉ phát hành vài tập, nhưng nhờ nụ cười tan chảy, cái đầu lạnh và trái tim ấm áp, tác phẩm về cuộc sống thường nhật của anh chàng Amuro tại quán cà phê Poirot đã đốn gục biết bao trái tim của fan mê ""Conan"". Xin giới thiệu tới các bạn những mẩu chuyện thường ngày chưa ai biết đến về người đàn ông mang trong mình cả ánh sáng lẫn bóng tối, sở hữu 3 bộ mặt: Cảnh sát = Furuya Rei, Thám tử = Amuro Toru, Tổ chức Áo đen = Bourbon. Sách được in với phần Obi dâng cao, mạ kim lấp lánh với bút tích gốc và chữ kí của cha đẻ nguyên tác Gosho Aoyama, đúng với tinh thần của bản gốc muốn truyền tải. Chắc chắn sẽ đem tới cho các bạn những phút giây thú vị, như một lát cắt khác chưa từng bắt gặp trong ""Thám tử lừng danh Conan""!! “Với tư cách là một trong vô vàn fan hâm mộ AOYAMA tiên sinh trên Trái Đất, tôi rất mong những người yêu mến thế giới của “Thám tử lừng danh Conan” do tiên sinh tạo ra sẽ tận hưởng “Giờ trà của Zero” hết mình. Tôi vẽ bộ truyện này cũng vì mục đích đó. Rất mong được mọi người đón nhận.” (Takahiro Arai) Combo Thám Tử Lừng Danh Conan - Giờ Trà Của Zero (3 Cuốn) gồm: Thám Tử Lừng Danh Conan - Giờ Trà Của Zero Tập 1 Thám Tử Lừng Danh Conan - Giờ Trà Của Zero Tập 2 Thám Tử Lừng Danh Conan - Giờ Trà Của Zero Tập 3"
Dr. Stone - Tập 5,1116,22500,25000,5212214510005,978-604-2-22848-0,"Riichiro Inagaki, Boichi",Tuổi mới lớn,17.6,11.3,192,bìa mềm,130,Dr. Stone,Manga - comic,"Khai mạc “đại hội võ thuật”! Trận đầu tiên, Kinro của Vương quốc khoa học do Senku dẫn đầu đấu với Magma. Do bị cận thị, không xác định được tầm đánh nên Kinro lâm vào hoàn cảnh rất cam go. Nhưng sau khi được trang bị “đôi mắt khoa học”, liệu cậu có áp đảo Magma…!? Senku cùng đồng đội hướng tới mục tiêu giành chức quán quân bằng sức mạnh khoa học!!   RIICHIRO INAGAKI   “Cuối cùng phòng thí nghiệm Senku cũng hoàn thành, vậy là họ có thể tha hồ chế tác khoa học trình độ cao hơn rồi. Tác giả đuổi theo cũng vất vả phết. Cả tôi, lẫn thầy giám sát khoa học cùng các chuyên gia phải xúm vào kiểm tra mấy phép tính phức tạp xuất hiện trong truyện đấy. Thế mà ở thế giới đá, Senku lại tính nhẩm được mới tài. ” BOICHI   “Tôi đã sử dụng ảnh chụp rất nhiều địa điểm khác nhau để làm tư liệu vẽ làng của Kohaku. Chủ yếu là ảnh chụp thiên nhiên, rừng rậm ở Izu. Ngoài ra tôi còn dùng ảnh chụp được suốt 2 tháng ở Hokkaido, ảnh thắng cảnh Toyama, núi đá Karuizawa, phong cảnh Yamanashi, vách đá ở biển và đảo đá ở Busan, Hàn Quốc. Thực ra tôi còn muốn chụp ảnh Yakushima làm tư liệu cơ nhưng thời gian chuẩn bị để đăng truyện dài kì có 1 tháng thôi, sau khi truyện bắt đầu được đăng, tôi còn lên kế hoạch đi thu thập tư liệu cho 2 tựa truyện đăng hằng tuần nhưng lại đành thôi. May vẫn còn đống ảnh chụp sẵn từ trước! ”"
Dấu ấn hoàng gia - Tập 10,1050,27000,30000,5242218240010,978-604-2-37901-4,"Chieko Hosokawa, Fūmin",Tuổi mới lớn,17.6,11.3,192,bìa mềm,200,Dấu ấn hoàng gia,Manga - comic,"""Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tựa dòng chảy sông Nile, cùng nụ cười mê hoặc lòng người, thiếu nữ do mẹ hiền sông Nile hạ sinh sẽ ban phước lành cho mảnh đất sa mạc của chúng ta..."" Bị vướng phải lời nguyền hoàng gia, thiếu nữ đam mê khảo cổ học Carol đã bị đưa về thế giới 3000 năm trước. Tại đây, cô gái tóc vàng xinh đẹp được vị Pharaoh trẻ tuổi trị vì Ai Cập cổ đại Memphis đem lòng yêu và nhất quyết muốn lập làm hoàng hậu. Tuy nhiên, bủa vây xung quanh họ là những âm mưu và toan tính... ""Huyền thoại"" dòng truyện tranh thiếu nữ, câu chuyện lãng mạn kì ảo vượt thời - không nơi vùng đất Ai Cập cổ đại huyền bí đầy mê hoặc sẽ chính thức bắt đầu từ tháng 8.2024. Hãy cùng đón chào màn ra mắt chính thức với BẢN QUYỀN 100% của tác phẩm kinh điển gắn liền với hồi ức của nhiều thế hệ độc giả."
Dấu ấn hoàng gia - Tập 8,994,27000,30000,5242218240008,978-604-2-37899-4,"Chieko Hosokawa, Fūmin",Tuổi mới lớn,17.6,11.3,192,bìa mềm,200,Dấu ấn hoàng gia,Manga - comic,"""Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tựa dòng chảy sông Nile, cùng nụ cười mê hoặc lòng người, thiếu nữ do mẹ hiền sông Nile hạ sinh sẽ ban phước lành cho mảnh đất sa mạc của chúng ta..."" Bị vướng phải lời nguyền hoàng gia, thiếu nữ đam mê khảo cổ học Carol đã bị đưa về thế giới 3000 năm trước. Tại đây, cô gái tóc vàng xinh đẹp được vị Pharaoh trẻ tuổi trị vì Ai Cập cổ đại Memphis đem lòng yêu và nhất quyết muốn lập làm hoàng hậu. Tuy nhiên, bủa vây xung quanh họ là những âm mưu và toan tính... ""Huyền thoại"" dòng truyện tranh thiếu nữ, câu chuyện lãng mạn kì ảo vượt thời - không nơi vùng đất Ai Cập cổ đại huyền bí đầy mê hoặc sẽ chính thức bắt đầu từ tháng 8.2024. Hãy cùng đón chào màn ra mắt chính thức với BẢN QUYỀN 100% của tác phẩm kinh điển gắn liền với hồi ức của nhiều thế hệ độc giả."
Dấu ấn hoàng gia - Tập 6 (Tặng kèm Postcard),1487,27000,30000,5242218240006,978-604-2-37897-0,"Chieko Hosokawa, Fūmin",Tuổi mới lớn,17.6,11.3,216,bìa mềm,200,Dấu ấn hoàng gia,Manga - comic,"""Tương truyền, khi chòm sao Sopdet xuất hiện ở Ai Cập ta, một thiếu nữ hoàng kim tỏa hào quang rực rỡ sẽ hiện thân bên bờ sông Nile... Nàng là con gái nữ thần sông Nile Hapi. Với dung mạo kiều diễm tựa dòng chảy sông Nile, cùng nụ cười mê hoặc lòng người, thiếu nữ do mẹ hiền sông Nile hạ sinh sẽ ban phước lành cho mảnh đất sa mạc của chúng ta..."" Bị vướng phải lời nguyền hoàng gia, thiếu nữ đam mê khảo cổ học Carol đã bị đưa về thế giới 3000 năm trước. Tại đây, cô gái tóc vàng xinh đẹp được vị Pharaoh trẻ tuổi trị vì Ai Cập cổ đại Memphis đem lòng yêu và nhất quyết muốn lập làm hoàng hậu. Tuy nhiên, bủa vây xung quanh họ là những âm mưu và toan tính... ""Huyền thoại"" dòng truyện tranh thiếu nữ, câu chuyện lãng mạn kì ảo vượt thời - không nơi vùng đất Ai Cập cổ đại huyền bí đầy mê hoặc sẽ chính thức bắt đầu từ tháng 8.2024. Hãy cùng đón chào màn ra mắt chính thức với BẢN QUYỀN 100% của tác phẩm kinh điển gắn liền với hồi ức của nhiều thế hệ độc giả. SáchTặng kèm Postcard cho bản in đầu tiên"
Chú Thuật Hồi Chiến - Tập 2 (2022),1599,27000,30000,5222215000002,978-604-2-26814-1,Gege Akutami,Tuổi mới lớn,17.6,11.3,192,bìa mềm,140,Chú thuật hồi chiến,Manga - comic,"Chú thai bất ngờ xuất hiện tại trại cải tạo thanh thiếu niên. Nhóm Itadori, học sinh năm Nhất trường chuyên chú thuật, được cử đi cứu những người đang mắc kẹt bên trong. Nhưng chú thai sau khi hóa thành chú linh đã tấn công cả nhóm. Trước tình thế hiểm nghèo, Itadori đã trao quyền kiểm soát cơ thể cho Sukuna với hi vọng sẽ hạ gục chú linh, song...!?"
Nhà có 5 nàng dâu - Tập 12 (2022),1578,22500,25000,5222214690012,978-604-2-23708-6,Negi Haruba,Tuổi mới lớn,17.6,11.3,192,bìa mềm,150,Nhà có 5 nàng dâu,Manga - comic,"Thầy giáo dạy thêm bất đắc dĩ Futarou đang gánh vác sứ mệnh dẫn lối cho 5 chị em gái xinh đẹp nhưng lại “ghét học”, “suýt soát lưu ban” tới ngưỡng cửa “lễ tốt nghiệp”. Vì hồi cấp 2, Yotsuba đã được các chị em giúp đỡ nên cô quyết định lúc này sẽ vì họ mà giấu nhẹm đi cảm xúc dành cho Futarou. Không chỉ vậy, Ichika cũng quyết định nghỉ học để theo đuổi ước mơ trở thành nữ diễn viên của bản thân… Một mùa hè sóng gió đã qua đi, học kì mới lại tới, đón chào sự kiện cuối cùng của những năm cấp 3 - “Lễ hội trường”!"
