Tiêu đề sách,Đã bán (Sách),Giá bán (VNĐ),Giá gốc (VNĐ),Mã Kim Đồng (Mã sách),ISBN (Mã quốc tế),Tác giả,Đối tượng,Chiều dài (cm),Chiều rộng (cm),Số trang,Định dạng,Trọng lượng (gram),Bộ sách,Loại sách,Mô tả
Nhà có 5 nàng dâu - Tập 9 (2022),1460,22500,25000,5222214690009,978-604-2-23705-5,Negi Haruba,Tuổi mới lớn,17.6,11.3,192,bìa mềm,150,Nhà có 5 nàng dâu,Manga - comic,"Thầy giáo dạy thêm bất đắc dĩ Futarou đang gánh vác sứ mệnh dẫn lối cho 5 chị em gái xinh đẹp nhưng lại “ghét học”, “suýt soát lưu ban” tới ngưỡng cửa “lễ tốt nghiệp”. Kì nghỉ xuân đã kết thúc, một năm học mới sắp bắt đầu. Tình cờ làm sao, cả 5 chị em lẫn Futarou đều được vào chung một lớp! Bao niềm hứng khởi cùng hàng loạt sự kiện mới mẻ đang chờ đón họ!! Năm cuối cấp 3 đầy ắp biến cố của cả 6 người chuẩn bị được vén màn...!!"
Thám tử lừng danh Conan - Tập 103,2034,22500,25000,5242208470103,978-604-2-37836-9,Gosho Aoyama,Thiếu niên,17.6,11.3,180,bìa mềm,120,Thám tử lừng danh Conan,Manga - comic,"Khách sạn nơi Sera và Mary đang ở bỗng nhận được thư cảnh báo đánh bom! Giữa lúc nhiều suy nghĩ đan xen, Conan đã cùng luật sư Kisaki truy tìm hung thủ!! Nhóm thám tử nhí ra biển chơi. Người đưa chúng đi là Subaru Okiya và… Rumi Wakasa! Không khí giữa họ có gì đấy rất căng thẳng… Và còn Kaito Kid cải trang thành Azusa Enomoto!! Conan cùng Toru Amuro tình cờ có mặt tại hiện trường khi đó…!?"
Doraemon truyện dài (24 tập),2280,19800,22000,6242204350001,không có,Fujiko F Fujio,Nhi đồng,17.6,11.3,192,bìa mềm,140,Doraemon truyện dài,Manga - Comic,"“Chú khủng long của Nobita” là tác phẩm mở đầu cho xêri Doraemon truyện dài, và đã được chuyển thể thành phim hoạt hình. Trong tác phẩm này, 5 người nhóm bạn Doraemon đã ngược dòng thời gian, trở về thế giới khủng long Kỉ Bạch Á. Tất cả đã sát cánh bên nhau trải qua bao nhiêu sóng gió hiểm nguy để bảo vệ chú khủng long mới nở Pisuke. Các em hãy cùng dõi theo câu chuyện phiêu lưu đầy tình thương yêu và tình bạn này nhé"
Chú thuật hồi chiến - Tập 3,1720,27000,30000,5222215000003,978-604-2-26816-5,Gege Akutami,Tuổi mới lớn,17.6,11.3,192,bìa mềm,140,Chú thuật hồi chiến,Manga - comic,"Todo Aoi và Zen’in Mai của trường chuyên chú thuật Kyoto xuất hiện trước mặt Fushiguro và Kugisaki! Todo hỏi Fushiguro thích kiểu con gái như thế nào và câu trả lời của cậu là... Mặt khác, Itadori vẫn đang trong quá trình rèn luyện, để nâng cao kĩ năng thực chiến, cậu đã đến hiện trường án mạng do chú linh gây ra..."
Dragon Ball Super - Tập 14 (2023),705,22500,25000,5232212450014,978-604-2-28510-0,"Akira Toriyama, Toyotarou",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,140,Dragon ball Super,Manga - comic,"Sau khi có được sức mạnh mới, Vegeta trở về trái đất để phục thù. Anh đã dùng tuyệt chiêu Cưỡng bức chia tách tinh thần để phân tán sức mạnh của Moro. Tuy nhiên, hắn ta vẫn có cách đối phó… không chỉ dựa vào bản sao chép bên trong 73, mà còn… Toyotarou “Dragon Ball Heroes của Digital Kids Card game đã sang tới năm thứ 10. Xin nhiệt liệt chúc mừng! Cũng nhờ game này được chuyển thể comic mà tôi mới có cơ duyên trở thành họa sĩ truyện tranh. Nói cách khác, đây chính là ân nhân, í lộn, ân-game của tôi đó! Hãy tiếp tục dẫn trước nhé! Tôi sẽ ráng chạy đuổi phía sau!”"
Em gái cương thi - Kyoko - Tập 4,701,5000,35000,5222215180004,978-604-2-26823-3,Soichiro YAMAMOTO,Thiếu niên,18,13,188,bìa mềm,150,Em gái cương thi - Kyoko,Manga - comic,"Fudatsuki Kenji nổi tiếng khắp trường là một tên đầu gấu, hơn nữa còn là một tên đầu gấu cuồng em gái. Bởi cứ hễ tên con trai nào “liếc mắt đưa tình” với cô em gái Kyoko là sẽ bị hắn dọa cho sợ mất vía.nbsp; Nhưng thực ra hai anh em nhà Fudatsuki đang che giấu một bí mật động trời. Kyoko vốn là một cương thi và dải lụa buộc tóc chính là “lá bùa phong ấn”. Nếu dải lụa bị tuột, cô bé sẽ mất bình tĩnh và “cạp” người vô tội vạ. Sợ em gái gây họa cho xã hội nên Kenji mới phải kè kè theo sát 24/7, bị học sinh trong trường bàn tán đặt điều và gặp không biết bao nhiêu tình huống dở khóc dở cười... Nếu đã yêu quý cô bạn Takagi dễ thương lém lỉnh và cậu bạn Nishikata chuyên bị chọc ghẹo trong “Nhất quỷ, nhì ma, thứ ba Takagi” từ tác giả Soichiro Yamamoto, vậy thì các bạn đừng bỏ qua “Em gái cương thi Kyoko” - tác phẩm chung cha đẻ với Takagi - để được đến với cặp đôi anh em Kenji amp; Kyoko cùng những câu chuyện thường ngày nhưng vẫn không kém phần hài hước nhé! nbsp;"
Dragon Ball Full Color - Phần sáu - Tập 6,708,69300,77000,5232216030006,978-604-2-28415-8,Akira Toriyama,Tuổi mới lớn,17.6,11.3,232,bìa mềm,280,Dragon Ball Full Color,Manga - comic,"Nếu bạn là fan của DRAGON BALL - 7 VIÊN NGỌC RỒNG và những cuộc phiêu lưu của Khỉ Con Son Goku thì DRAGON BALL FULL COLOR sẽ làm bạn thích thú hơn nữa khi 100% cuốn truyện mà chúng ta yêu thích đều CÓ MÀU! Các nhân vật sẽ xuất hiện trước mắt bạn với màu da, màu tóc, phục trang và những khung cảnh vô cùng sống động! Những màn chiến đấu đặc trưng của DRAGON BALL cũng vì thế mà trở nên hoành tráng hơn bao giờ hết! Sau thời gian dài chuẩn bị và trao đổi với đại diện của tác giả Akira Toriyama, bộ truyện đã được NXB Kim Đồng phát hành với 100% bản quyền, phần ruột sách in màu rực rỡ trên giấy couché, có bìa áo 5 màu phản quang cực kì ấn tượng!! Dragon Ball Full Color có tổng cộng 32 tập, chia thành 6 phần, tương ứng với từng giai đoạn trưởng thành của Son Goku: Phần 1: Thời niên thiếu của Son Goku (8 tập) Phần 2: Đại ma vương Piccolo (4 tập) Phần 3: Cuộc đổ bộ của người Saiya (3 tập) Phần 4: Frieza Đại Đế (5 tập) Phần 5: Truy lùng Cell Bọ Hung (6 tập) Phần 6: Ma Buu (6 tập)"
Nữ chúa tuyết,719,20000,40000,5222200010086,978-604-2-27544-6,Clamp,Tuổi mới lớn,18,13,136,bìa mềm,190,không có,Manga - comic,"Có một truyền thuyết kể rằng Nữ Chúa Tuyết là nữ thần của băng giá thường cư ngụ một mình sâu trong núi tuyết hoang vu. Những kẻ độc hành gặp phải Nữ Chúa nhất định sẽ đóng băng mà chết. Mỗi dạo tuyết rơi, bão tuyết thét gào chính là lúc Nữ Chúa Tuyết đang than khóc, than khóc vì cô đơn, vì mối tình không trọn vẹn của mình… NỮ CHÚA TUYẾT là tuyển tập truyện ngắn đặc sắc của nhóm tác giả CLAMP với chủ đề núi tuyết. Nhưng câu chuyện sâu lắng chứa chan tình cảm, nói về những mối tình của nhân gian dựa trên loạt truyện cổ Nhật Bản chính là một thứ chất liệu đặc sắc để cho bộ tứ tác giả thỏa sức thể hiện, thông qua nét vẽ vô cùng trau chuốt và đặc trưng của thời kì đỉnh cao.nbsp; nbsp; nbsp; nbsp; nbsp;nbsp; nbsp;"
Dragon Ball Super - Tập 12 (2021),713,19800,22000,5212212450012,978-604-2-22758-2,"Akira Toriyama, Toyotarou",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,140,Dragon ball Super,Manga - comic,"Ác nhân Moro cùng đồng bọn là những tù nhân vượt ngục đang làm loạn khắp cõi Ngân Hà nhằm thâu tóm năng lượng sống từ các hành tinh có giá trị. Cùng lúc ấy, trên Trái Đất cũng xuất hiện một băng nhóm Ngân tặc, trong đó có gã tù “Số 73” với năng lực sao chép cực kì lợi hại. Thiếu Goku, nhóm bạn đã phải chật vật chiến đấu với hắn ra sao?"
Dragon Ball Super - Tập 13 (2021),753,19800,22000,5212212450013,978-604-2-23295-1,"Akira Toriyama, Toyotarou",Tuổi mới lớn,"17,6","11,3",192,bìa mềm,140,Dragon ball Super,Manga - comic,"Trận chiến giữa quân đoàn Moro và các chiến binh Địa Cầu đang mỗi lúc một căng thẳng. Buộc chúa tể của chúng phải thân chinh xuất trận. Được Moro tiếp thêm sức mạnh, Saganbo đánh áp đảo bọn Gohan khiến Địa Cầu đứng trước nguy cơ thất thủ. Goku và Vegeta liệu có trở về kịp hay không?"
One - Punch Man - Tập 23 (2023),696,22500,25000,5232210770023,978-604-2-28436-3,"Yusuke Murata, One",Tuổi mới lớn,17.6,11.3,200,bìa mềm,165,One - Punch Man,Manga - comic,"3 kiếm sĩ đệ tử của Võ Sĩ Hạt Nhân đã tựu kế giúp biệt đội lính đánh thuê của Narinki thoát khỏi sự chi phối của Đại S Công Chúa. Trên đường đào tẩu, cả đám lại đụng độ Ma Tóc Mây!! Kiếm Sĩ Máy Khoan, Kiếm Sĩ Giáp Sắt và Lưỡi Liềm Hifi buộc phải hợp sức chiến đấu mới địch lại hắn. Trong lúc đó, sư phụ của bọn họ là Võ Sĩ Hạt Nhân cũng chạm trán một kì phùng địch thủ đáng gờm… One “Tôi đang xem phim trên nền tảng trực tuyến. Ở đây có hàng ngàn tác phẩm thú vị…”"
Vị thần lang thang - Tập 21,710,5000,20000,5222209910021,978-604-2-23718-5,Adachitoka,Tuổi mới lớn,17.6,11.3,194,bìa mềm,120,Vị thần lang thang,Manga - comic,"Nội dung kể về Hiyori, một nữ sinh có khả năng nhìn thấy những linh hồn hay quỷ thần. Một lần cô gặp tại nạn giao thông và trở thành thức thần. Cô đã kết bạn với Yato, một Vị Thần Lang Thang khao khát xây dựng ngôi đền riêng cho bản thân. Manga Noragami là một trong 10 bộ truyện bán chạy nhất ở Bảng xếp hạng manga Oricon."
One piece - Tập 105,778,19800,22000,5242203331105,không có,Eiichiro Oda,Tuổi mới lớn,17.6,11.3,196,bìa mềm,150,One Piece,Manga - Comic,"Vậy là Luffy đã trở thành Tứ hoàng mới!! Trong bối cảnh thời đại mới đang đến gần, cục diện thế giới đảo lộn ác liệt, hành trình của băng Hải tặc vừa xuất phát từ Wano quốc sẽ ra sao!? Một con đường mới lại mở ra cho tất cả!! Những chuyến phiêu lưu trên đại dương xoay quanh “ONE PIECE” lại bắt đầu!!"
Dragon Quest - Dấu ấn Roto (Perfect Edition) - Tập 3 (Tặng kèm Bookmark PVC),763,67500,75000,5222214900003,978-604-2-23559-4,"Kamui Fujiwara, Chiaki Kawamata",Tuổi mới lớn,18,13,286,bìa mềm,300,Dragon Quest - Dấu ấn Roto (Perfect Edition),Manga - comic,"DRAGON QUEST - DẤU ẤN ROTO: Series Manga đến từ thương hiệu Game huyền thoại chính thức đổ bộ tại Việt Nam vào cuối tháng 11.2021!! Có lẽ không cần phải giới thiệu quá nhiều về một trong những bộ Manga thuộc Series ""Dragon Quest"" cực kì nổi tại Việt Nam với tên gọi cũ là ""Dấu ấn rồng thiêng""! Phải gần 25 năm, người hâm mộ Dragon Quest mới được chính thức sở hữu những cuốn Manga có bản quyền và đặc biệt hơn, lại là bản HOÀN CHỈNH! Là phần truyện độc lập với series ""Adventure of Dai - Cuộc phiêu lưu của Dai Dũng sĩ"" trên tạp chí Jump, ""Emblem of Roto"" nói về hành trình của Dũng sĩ Arus - Người mang trong mình dòng máu của Dũng sĩ Roto - sát cánh bên Tam Vương nhằm tiêu diệt Dị Ma Thần. Để làm được điều đó, cậu phải vượt qua muôn vàn khó khăn và thử thách! Nhưng với trái tim nhân hậu và lòng quả cảm, Arus dần trưởng thành, lãnh hội được nhiều thần chú, học hỏi được nhiều điều qua mỗi vùng đất mà cậu phiêu lưu! Quan trọng là niềm tin mãnh liệt không hề lùi bước trước khó khăn! Không khó hiểu lí do vì sao ""Dấu ấn rồng thiêng"" ngày nào trở thành một trong những tác phẩm ""kinh điển"" của tuổi thơ những thế hệ độc giả Manga đời đầu. Trong vai trò là tác phẩm mở đường, DRAGON QUEST - DẤU ẤN ROTO cũng là bộ truyện thứ 5 thuộc dòng Deluxe của NXB Kim Đồng. Với sự đầu tư, chăm chút và đặt nhiều kì vọng, rất hi vọng các bạn độc giả sẽ đón nhận thật nhiệt thành, và sẽ có những trải nghiệm lí thú khi dõi theo bước đường trưởng thành của Dũng sĩ Arus cùng những người đồng đội! Sách tặng kèm Bookmark PVC cho bản in đầu tiên."
Thiên thần diệt thế - Seraph of the end - Tập 22,663,5000,22000,5222212340022,978-604-2-23575-4,"Takaya Kagami, Yamato Yamamoto, Daisuke Furuya",Tuổi mới lớn,17.6,11.3,196,bìa mềm,125,Thiên thần diệt thế - Seraph of the end,Manga - comic,"Trong khi nhóm Shinoa đang đuổi theo giải cứu Yuichiro thì mạng sống của Mikaela ở tình cảnh ngàn cân treo sợi tóc và Yuichiro thì đau khổ tột cùng. Trước câu nói “Giết ta đi” của Yuichiro, Asuramaru đã đáp trả thế nào? Ở một diễn biến khác, Saitou bị thương nặng và Ferid đang định đâm kết liễu để ngăn chặn…!? YAMATO YAMAMOTO “Sang tập 22 rồi. Mikaela bắt đầu có những biến đổi lớn. Và Yuichiro thì gào khóc thảm thiết… Mọi người hãy đón chờ những bước ngoặt tiếp theo nhé!”"
One Piece Strong Words - Trích dẫn hay nhất - Tập 2,664,5000,50000,5182209970016,978-604-2-10610-8,Eiichiro Oda,Thiếu niên,17.6,11.3,218,bìa mềm,250,One Piece ngoại truyện,Manga - comic,Cung cấp thông tin ngoài lề về bộ truyện One Piece
Dragon Ball Full Color - Phần năm - Tập 5,665,69300,77000,5222215400005,978-604-2-27253-7,Akira Toriyama,Tuổi mới lớn,17.6,11.3,224,bìa mềm,280,Dragon Ball Full Color,Manga - Comic,"Nếu bạn là fan của DRAGON BALL - 7 VIÊN NGỌC RỒNG và những cuộc phiêu lưu của Khỉ Con Son Goku thì DRAGON BALL FULL COLOR sẽ làm bạn thích thú hơn nữa khi 100% cuốn truyện mà chúng ta yêu thích đều CÓ MÀU! Các nhân vật sẽ xuất hiện trước mắt bạn với màu da, màu tóc, phục trang và những khung cảnh vô cùng sống động! Những màn chiến đấu đặc trưng của DRAGON BALL cũng vì thế mà trở nên hoành tráng hơn bao giờ hết! Sau thời gian dài chuẩn bị và trao đổi với đại diện của tác giả Akira Toriyama, bộ truyện đã được NXB Kim Đồng phát hành với 100% bản quyền, phần ruột sách in màu rực rỡ trên giấy couché, có bìa áo 5 màu phản quang cực kì ấn tượng!! Dragon Ball Full Color có tổng cộng 32 tập, chia thành 6 phần, tương ứng với từng giai đoạn trưởng thành của Son Goku: Phần 1: Thời niên thiếu của Son Goku (8 tập) Phần 2: Đại ma vương Piccolo (4 tập) Phần 3: Cuộc đổ bộ của người Saiya (3 tập) Phần 4: Frieza Đại Đế (5 tập) Phần 5: Truy lùng Cell Bọ Hung (6 tập) Phần 6: Ma Buu (6 tập)"
Im - Đại tư tế Imhotep - Tập 9,668,5000,25000,5212214400009,978-604-2-22499-4,Makoto Morishita,Tuổi mới lớn,"17,6","11,3",180,bìa mềm,130,Im - Đại tư tế Imhotep,Manga - comic,"Im đã bày tỏ cảm xúc thật của mình về Djoser với Hinome. Sau khi gặp thần Thoth ở thần điện mặt trăng, Im đã biết được bí mật về thân thế của chính mình. Kết quả của mối dây liên kết vượt cả thời gian lẫn không gian giữa Thoth, Apophis và Im rốt cuộc là gì!? MAKOTO MORISHITA “Hồi xưa tôi ưa mơ màng giữa ban ngày lắm, tôi chìm trong thế giới ảo đến mức phát rầu vì mình xa rời thực tại nhiều quá. Thú vui của việc sáng tác truyện tranh của tôi chính là được thấy những mộng tưởng của mình hiện ra ngay trước mắt. Câu chuyện về Im ban đầu vốn chỉ là mộng tưởng do tôi vẽ ra cuối cùng đã trở thành truyện tranh rồi. Giờ thì! Bắt đầu thưởng thức thôi! Tập 9 hé mở những ẩn số xoay quanh Imhotep chính thức bắt đầu!”"
Komi - Nữ thần sợ giao tiếp - Tập 13,668,22500,25000,5222214910013,978-604-2-23677-5,Tomohito Oda,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Komi - Nữ thần sợ giao tiếp,Manga - Comic,"Bước vào giữa kì nghỉ, những ngày hè của người đẹp sợ giao tiếp và bé Rei lớp 2 cứ êm đềm trôi. Tưởng rằng hai chị em đang ngày càng thân thiết hơn thì đột nhiên bé Rei lại tỏ ra xa cách. Rốt cuộc chuyện này là sao? Rồi mùa hè tiếp diễn, Tadano và Komi muốn rủ nhau đi chơi nhưng chẳng ai đủ can đảm mở lời trước. Ngay lúc đó, Najimi xuất hiện với đại tiệc phim kinh dị mùa hè!! Xin được gửi tới các bạn tập 13 của câu chuyện hài hước về người đẹp sợ giao tiếp đang chậm rãi rút ngắn khoảng cách với mọi người!"
Ninja Rantaro - Tập 57,667,5000,40000,5222205440057,978-604-2-23616-4,Soubee Amako,Nhi đồng,18,13,240,bìa mềm,225,Ninja Rantaro,Manga - Comic,"Igasaki Magohei amp; Urakaze Tonai amp; Santanda Kazuma Magohei xuất hiện từ tập 2. Cung Ma Kết, nhóm máu B, 12 tuổi. Đội viên đội sinh vật. Rất mê động vật nguy hiểm và đôi lúc cũng gây náo loạn trong trường. Học lớp 3C. Tonai xuất hiện từ tập 36. Cung Ma Kết, nhóm máu A, 12 tuổi. Đội viên đội tạp vụ. Rất chăm chỉ, luôn tự học tự luyện tập. Học lớp 3A. Kazuma xuất hiện từ tập 35. Cung Song Ngư, nhóm máu A, 12 tuổi. Đội viên đội y tế. Ít nổi bật, đến tập 40 mới biết tên. Học lớp 3A. Soubee Amako “Chào các cháu, bác Soubee đây. Năm nay tính ra là tròn 400 năm từ trận đánh mùa hè Osaka. Bác đã tới tham gia sự kiện tại thành phố Kudoyama thuộc tỉnh Wakayama - vùng đất lịch sử gắn với tướng quân Sanada Yukimura – nhân vật chính trong bộ phim truyền hình lịch sử trên đài NHK. Sau màn giới thiệu về “10 tướng lĩnh Sanada” là buổi nói chuyện của thầy Kitagawa Hiroshi về thành Osaka (từng đề cập trong tập 55) và cuối cùng là vở nhạc kịch “Danh tướng Sanada Yukimura” do diễn viên Ouka Noboru thủ vai chính. Thật là một ngày mãn nguyện với rất nhiều chương trình hấp dẫn đấy các cháu!!” nbsp;"
Ninja Rantaro - Tập 60,669,5000,40000,5222205440060,978-604-2-23619-5,Soubee Amako,Nhi đồng,18,13,244,bìa mềm,225,Ninja Rantaro,Manga - comic,"Doi Hansuke amp; Yamada Denzo Doi Hansuke là giáo viên môn lí thuyết lớp 1A. Vì đã quá quen với việc đọc chữ viết như gà bới của lớp 1A nên chữ xấu tới đâu thầy cũng có thể luận ra được. Không tự tin với khả năng phi phi tiêu nhưng tự hào ném phấn bách phát bách trúng. Cung Nhân Mã, nhóm máu O, 25 tuổi. Yamada Denzo là giáo viên môn thực hành lớp 1A. Là một giáo viên đầy nhiệt huyết đã đào tạo biết bao ninja đang hoạt động trên khắp nước Nhật. Thầy còn là một thiên tài sử dụng súng dây dẫn lửa và đánh giáp lá cà. Thích cải trang và luôn tự tin với “nàng Denko” khi giả gái. Cung Cự Giải, nhóm máu A, 46 tuổi.nbsp; SOUBEE AMAKOnbsp; “Tèn ten! Năm nay là kỉ niệm tròn 30 năm truyện được đăng tải, tập 60 cũng đã được ra lò! Các bạn đọc theo dõi bộ truyện từ đầu chắc giờ đã thành người lớn, và bác vô cùng xúc động khi biết có tới 2 thế hệ, hay thậm chí 3 thế hệ người hâm mộ trong cùng một gia đình. Bác sẽ vẫn tiếp tục học hỏi, không quên nhiệt huyết thuở ban đầu và hi vọng sẽ trưởng thành từng chút một với các bạn ninja nhí lớp 1A.” nbsp;"
Ngôn Ngữ Yêu Thương - Tập 9 (Tặng kèm Card PVC),670,27000,30000,5242217330009,978-604-2-33895-0,suu Morishita,Tuổi mới lớn,"17,6","11,3",160,bìa mềm,120,Ngôn Ngữ Yêu Thương,Manga - comic,"“Để hai đứa có thể ở bên nhau lâu hơn một chút.” Được đàn anh khóa trên Itsuomi đối xử hết sức tự nhiên và ân cần, cô sinh viên điếc bẩm sinh Yuki đã bị anh thu hút, rồi đem lòng cảm mến từ lúc nào chẳng hay. Kể từ lúc hai người hẹn hò, Itsuomi luôn trân trọng Yuki hết mực. Yuki lại càng ngưỡng mộ Itsuomi hơn nữa khi cô khám phá ra những con người khác của anh. Nhân dịp Itsuomi đề nghị sống chung, Yuki đã đưa anh về ra mắt gia đình đồng thời xin phép bố mẹ cho ra ở riêng, liệu kết quả sẽ thế nào? Xin gửi đến các bạn tập 9 với những trải nghiệm đầy mới mẻ và hạnh phúc của đôi bạn trẻ khi đứng trước một bước ngoặt lớn trong đời ♥ SáchTặng kèm Card PVCcho bản in đầu tiên"
Thiên thần diệt thế - Seraph of the end - Tập 23,676,5000,22000,5222212340023,978-604-2-23576-1,"Takaya Kagami, Yamato Yamamoto, Daisuke Furuya",Tuổi mới lớn,17.6,11.3,180,bìa mềm,125,Thiên thần diệt thế - Seraph of the end,Manga - comic,"Đội Shinoa đã chạy trốn khỏi thảm kịch của Mikaela. Trong lúc dừng chân nghỉ ngơi một chút, Kimizuki nhận ra và thấm thía sâu sắc sự chênh lệch sức mạnh giữa bản thân với Yuichiro… Krul thức tỉnh và làm sáng tỏ sự việc xảy ra 8 năm về trước cùng kế hoạch của Mahiru!? Và kỉ niệm nào của 2 chị em sẽ được hé lộ khi Shinoa hồi tưởng về chị gái mình? YAMATO YAMAMOTO “Đã sang tập 23. Lần này sẽ xảy ra một vụ việc vô cùng, vô cùng đáng sợ đối với Shinoa và Mitsuba!? Nào, tất cả hãy cùng đón xem nhé!”"
Ninja Rantaro - Tập 56,686,5000,40000,5222205440056,978-604-2-23615-7,Soubee Amako,Nhi đồng,18,13,240,bìa mềm,225,Ninja Rantaro,Manga - Comic,"Kanzaki Samon amp; Tsugiya Sanosuke amp; Tomatsu Sakube Samon xuất hiện ở tập 29. Cung Sư Tử, nhóm máu B, 12 tuổi. Có tật mù phương hướng nhưng lại rất quyết đoán. Là đội viên đội kế toán. Sanosuke xuất hiện từ tập 36. Cung Sư Tử, nhóm máu AB, 12 tuổi. Mù phương hướng nhưng lại không hề nhận ra nên kết hợp với Samon thành “cặp đôi đậu phộng đường”. Là đội viên đội thể dục. Sakube xuất hiện từ tập 35. Cung Xử Nữ, nhóm máu B, 12 tuổi. Ít để ý tới xung quanh nhưng lại rất có trách nhiêm. Đội viên đội dụng cụ. Cả 3 đều là học sinh lớp 3B. Soubee Amako “Các cháu nghỉ hè vui và bổ ích chứ? Trong trời mưa bão, bác đã tới thăm viện bảo tàng văn hóa lịch sử tỉnh Ehime - nơi đang có triển lãm đặc biệt về “Ninja Rantaro” đấy. Viện bảo tàng này vốn trưng bày về thủy quân rất đáng xem, nhưng điều khiến bác vui nhất lần này là được thầy Doi, một chuyên gia về nghệ thuật khen rằng “Chị vẽ tháp Nhất Thạch Ngũ Luân chuẩn lắm!”. Thật cảm kích vì thầy đã xem tường tận cả khung cảnh ngôi chùa hoang trong truyện!” nbsp;"
Saiki Kusuo - Kẻ siêu năng khốn khổ - Tập 14,678,5000,22000,5212214260014,978-604-2-22775-9,Shuichi Aso,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,115,Saiki Kusuo - Kẻ siêu năng khốn khổ,Manga - Comic,"Kusuo đi xem chương trình của một gánh xiếc lưu diễn qua thành phố. Tại đây, cậu bắt gặp Chono – người vẫn xem mình như sư phụ, đang vào vai chú hề! Ngay trước lúc mở màn, Chono không may bị thương, khiến Kusuo một lần nữa lâm vào cảnh bỏ thì thương vương thì tội."
Chòm sao linh thú - Tập 1,689,5000,40000,5212214870001,978-604-2-23183-1,Matsuri Akino,Thiếu niên,17.6,11.3,336,bìa mềm,200,Chòm sao linh thú,Manga - comic,"Giữa sa mạc ẩn hiện vương quốc Darashaal huyền ảo, nơi ngai vàng của Pháp Vương được kế thừa thông qua đầu thai chuyển kiếp. Pháp Vương đời thứ 42 của Darashaal là cậu thiếu niên 15 tuổi người Nhật Kamishina Futo, luôn tự hào vì tính cách phóng khoáng và hoạt bát…!? Bối rối trước những lời của linh thú bảo hộ Garuda đột nhiên xuất hiện, những ngày tháng đầy sóng gió, hiểm nguy và sôi động của cậu đã bắt đầu!! Mỗi tháng 1 tập, CHÒM SAO LINH THÚ - Một tác phẩm đến từ tác giả Matsuri Akino (Người sáng tác TIỆM THÚ KIỂNG) chắc chắn sẽ là một tác phẩm nặng kí cả từ nội dung lẫn hình thức dành cho các Fan mê thể loại Manga bí ẩn, kì ảo. Hãy dành một chỗ trên kệ sách nhà bạn để đặt series truyện cực kì dày dặn này nhé! nbsp;"
Dược sư tự sự (Manga) - Tập 12 (Tặng Standee Ivory + Bìa Áo 2 Mặt),688,42300,47000,5242815020012,978-604-2-38097-3,"Natsu Hyuuga, Touco Shino, Itsuki Nanao, Nekokurage",Tuổi trưởng thành,18,13,180,bìa mềm,200,Dược sư tự sự,Wings Books,"Sau khi phá giải bí ẩn về lời nguyền của Tiên đế, Miêu Miêu trở về với cuộc sống thường nhật trong cung Phỉ Thuý. Cô được Anh Hoa lôi đến buổi tụ họp ban đêm ở hậu cung, phải cùng Nhâm Thị đi săn theo lời nhờ vả của hắn, để rồi lại bị cuốn vào một vụ việc mới tại nơi đó... Trong tập 12, Miêu Miêu còn chạm phải một con ếch và phát hiện ra bí mật của Nhâm Thị nữa đấy!! * WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng hân hạnh gửi đến các bạn độc giả phiên bản chuyển thể manga đặc sắc của bộ light-novel siêu ăn khách DƯỢC SƯ TỰ SỰ! Series đã vượt mốc 33 triệu bản tại thị trường Nhật Bản, luôn thống trị bảng xếp hạng bán chạy mỗi khi ra tập mới! Phiên bản anime chuyển thể liên tục có mặt trong top các chương trình được xem nhiều nhất trên Netflix kể từ khi lên sóng vào tháng 10/2023. Số tập: 13+ (on-going) Dược Sư Tự Sự (Manga) – Tập 12 - Tặng kèm 01 Standee ivory + Bìa áo 2 mặt với hình ảnh mua ngoài không có trong sách. Bìa áo 2 mặt chỉ có ở bản in đầu. --- Một ấn phẩm của WINGS BOOKS - Thương hiệu sách trẻ của NXB Kim Đồng."
